locality_a,locality_b,transit_time_mins
gb--berkshire-windsor-slough-maidenhead,gb--essex-southend,120.0
gb--berkshire-windsor-slough-maidenhead,gb--hertfordshire-essex-east-hertfordshire,80.0
gb--berkshire-windsor-slough-maidenhead,gb--buckinghamshire-milton-keynes,85.0
gb--berkshire-windsor-slough-maidenhead,gb--london-buckinghamshire-berkshire-outer-west,22.0
gb--berkshire-windsor-slough-maidenhead,gb--london-inner-east,79.0
gb--kent-medway-maidstone,gb--london-hertfordshire-buckinghamshire-outer-north-west,100.0
gb--kent-ashford,gb--london-hertfordshire-buckinghamshire-outer-north-west,107.0
gb--cambridgeshire-huntingdonshire,gb--london-hertfordshire-buckinghamshire-outer-north-west,83.0
gb--london-hertfordshire-buckinghamshire-outer-north-west,gb--london-inner-south,61.0
gb--london-central-london,gb--london-hertfordshire-buckinghamshire-outer-north-west,45.0
gb--london-hertfordshire-buckinghamshire-outer-north-west,gb--london-kent-outer-south-east,85.0
gb--london-essex-outer-north-east,gb--london-hertfordshire-buckinghamshire-outer-north-west,50.0
gb--london-hertfordshire-buckinghamshire-outer-north-west,gb--london-inner-south-west,47.0
gb--essex-colchester,gb--london-hertfordshire-buckinghamshire-outer-north-west,108.0
gb--kent-south-west-kent,gb--london-hertfordshire-buckinghamshire-outer-north-west,102.0
gb--london-hertfordshire-buckinghamshire-outer-north-west,gb--surrey-west-sussex-east-surrey,90.0
gb--essex-thurrock,gb--london-hertfordshire-buckinghamshire-outer-north-west,85.0
gb--london-hertfordshire-buckinghamshire-outer-north-west,gb--london-hertfordshire-outer-north,40.0
gb--london-hertfordshire-buckinghamshire-outer-north-west,gb--surrey-west-surrey,64.0
gb--london-hertfordshire-buckinghamshire-outer-north-west,gb--london-inner-north-west,28.0
gb--essex-southend,gb--london-hertfordshire-buckinghamshire-outer-north-west,105.0
gb--hertfordshire-essex-east-hertfordshire,gb--london-hertfordshire-buckinghamshire-outer-north-west,45.0
gb--buckinghamshire-milton-keynes,gb--london-hertfordshire-buckinghamshire-outer-north-west,68.0
gb--london-buckinghamshire-berkshire-outer-west,gb--london-hertfordshire-buckinghamshire-outer-north-west,24.0
gb--london-hertfordshire-buckinghamshire-outer-north-west,gb--london-inner-east,63.0
gb--kent-ashford,gb--kent-medway-maidstone,35.0
gb--cambridgeshire-huntingdonshire,gb--kent-medway-maidstone,122.0
gb--kent-medway-maidstone,gb--london-inner-south,65.0
gb--kent-medway-maidstone,gb--london-central-london,55.0
gb--kent-medway-maidstone,gb--london-kent-outer-south-east,30.0
gb--kent-medway-maidstone,gb--london-essex-outer-north-east,62.0
gb--kent-medway-maidstone,gb--london-inner-south-west,81.0
gb--essex-colchester,gb--kent-medway-maidstone,92.0
gb--kent-medway-maidstone,gb--kent-south-west-kent,40.0
gb--kent-medway-maidstone,gb--surrey-west-sussex-east-surrey,55.0
gb--essex-thurrock,gb--kent-medway-maidstone,35.0
gb--kent-medway-maidstone,gb--london-hertfordshire-outer-north,80.0
gb--kent-medway-maidstone,gb--surrey-west-surrey,105.0
gb--kent-medway-maidstone,gb--london-inner-north-west,81.0
gb--essex-southend,gb--kent-medway-maidstone,70.0
gb--hertfordshire-essex-east-hertfordshire,gb--kent-medway-maidstone,85.0
gb--buckinghamshire-milton-keynes,gb--kent-medway-maidstone,114.0
gb--kent-medway-maidstone,gb--london-buckinghamshire-berkshire-outer-west,96.0
gb--kent-medway-maidstone,gb--london-inner-east,54.0
gb--cambridgeshire-huntingdonshire,gb--kent-ashford,129.0
gb--kent-ashford,gb--london-inner-south,80.0
gb--kent-ashford,gb--london-central-london,62.0
gb--kent-ashford,gb--london-kent-outer-south-east,65.0
gb--kent-ashford,gb--london-essex-outer-north-east,97.0
gb--kent-ashford,gb--london-inner-south-west,88.0
gb--essex-colchester,gb--kent-ashford,125.0
gb--kent-ashford,gb--kent-south-west-kent,55.0
gb--kent-ashford,gb--surrey-west-sussex-east-surrey,90.0
gb--essex-thurrock,gb--kent-ashford,70.0
gb--kent-ashford,gb--london-hertfordshire-outer-north,97.0
gb--kent-ashford,gb--surrey-west-surrey,127.0
gb--kent-ashford,gb--london-inner-north-west,88.0
gb--essex-southend,gb--kent-ashford,105.0
gb--hertfordshire-essex-east-hertfordshire,gb--kent-ashford,117.0
gb--buckinghamshire-milton-keynes,gb--kent-ashford,121.0
gb--kent-ashford,gb--london-buckinghamshire-berkshire-outer-west,103.0
gb--kent-ashford,gb--london-inner-east,85.0
gb--cambridgeshire-huntingdonshire,gb--london-inner-south,85.0
gb--cambridgeshire-huntingdonshire,gb--london-central-london,67.0
gb--cambridgeshire-huntingdonshire,gb--london-kent-outer-south-east,107.0
gb--cambridgeshire-huntingdonshire,gb--london-essex-outer-north-east,83.0
gb--cambridgeshire-huntingdonshire,gb--london-inner-south-west,93.0
gb--cambridgeshire-huntingdonshire,gb--essex-colchester,120.0
